1001000100 101010001010 10001 01010	96	ADDI	R10, R17, #-1398
1001000100 000011001000 00000 00000	100	ADDI	R0, R0, #200
1101000100 101010011110 00111 11111	104	SUBI	R31, R7, #-1378
11001011000 11010 010101 01001 00110	108	SUB	R6, R9, R26
10001010000 11111 111000 11001 01011	112	AND	R11, R25, R31
10001011000 11010 010101 01010 01001	116	ADD	R9, R10, R26
11101010000 11010 100111 10011 01101	120	EOR	R13, R19, R26
110100101 01 0100101001010101 01111	124	MOVZ	R15, 19029, LSL 16
111100101 10 1010101001010101 01010	128	MOVK	R10, 43605, LSL 32
11010011100 10010 101100 10010 10011	132	ASR	R19, R18, R18
11010011010 11010 101111 11111 11111	136	LSR	R31, R31, #47
11010011011 01010 011001 11111 11000	140	LSL	R24, R31, #25
11111000010 000000000 00 00000 00011	144	LDUR	R3, [R0, #0]
11111000000 000000000 00 00000 00110	148	STUR	R6, [R0, #0]
10110100 0000000000000000001 00000	152	CBZ	R0, #1
10110101 0000000000000000001 00111	156	CBNZ	R7, #1
000101 00000000000000000000000001	160	B	#1
1001000100 101010001010 10001 01010	164	ADDI	R10, R17, #-1398
1001000100 101010001010 10001 01010	168	ADDI	R10, R17, #-1398
1001000100 101010001010 10001 01010	172	ADDI	R10, R17, #-1398
000101 00000000000000000000000011	176	B	#3
1001000100 101010001010 10001 01010	180	ADDI	R10, R17, #-1398
1001000100 101010001010 10001 01010	184	ADDI	R10, R17, #-1398
1001000100 101010001010 10001 01010	188	ADDI	R10, R17, #-1398
1001000100 101010001010 10001 01010	192	ADDI	R10, R17, #-1398
1001000100 101010001010 10001 01010	196	ADDI	R10, R17, #-1398
1 11111 10110 11110 11111 11111 100111	200	BREAK	
00000000000000000000000000000001	204	1	
00000000000000000000000000001111	208	15	
00000000000000000000000000000110	212	6	
00000000000000000000000000000010	216	2	
00000000000000000000000000001011	220	11	
00000000000000000000000000000111	224	7	
00000000000000000000000000000101	228	5	
00000000000000000000000000000100	232	4	
00000000000000000000000000000010	236	2	
00000000000000000000000000000011	240	3	
